langname,level,gcode,gcode_rule,ref_name,concept,domain,basic,combo_name,word_list,source,sign,reference,url,scholarly,page,comments
Australian languages,group,NA,area_equals_to,Australia,sand,noun,1,sandcombo,sand,wordnet,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,103-104,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Warlpiri,group,NA,langname_contains,Warlpiri,kinship,noun,0,kinshipcombo,NA,NA,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,108,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Yidiñ,single,yidi1250,NA,NA,noise,noun,1,noisecombo,noise,wordnet,positive,"Dixon (1980), The languages of Australia","https://books.google.com/books?hl=en&lr=&id=0b5XGja0HKIC&oi=fnd&pg=PR11&dq=Dixon+(1980),+The+languages+of+Australia&ots=n5CU1Lvg_7&sig=S6w7QUNXJakoejEe2T0wCcQax1o",1,105,"Quoted in Wierzbicka, A. (1997). Understanding cultures through their key words: English, Russian, Polish, German, and Japanese (Vol. 8). Oxford University Press."
Niuatoputapu,single,niua1241,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Dye, Tom. 1983. Fish and fishing on Niuatoputapu. Oceania 53(3):247–271.",https://onlinelibrary.wiley.com/doi/abs/10.1002/j.1834-4461.1983.tb01983.x,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Hawaiian,single,hawa1245,NA,NA,rain,noun,1,raincombo,"rain, rainfall, rainwater",wordnet,positive,"Elbert, S. H. (1957). The Chief in Hawaiian Mythology. 7. The Chief and Religion. The Journal of American Folklore, 70(277), 264-276.",https://www.jstor.org/stable/538326,1,NA,NA
Hawaiian,single,hawa1245,NA,NA,wind,noun,1,windcombo,wind,wordnet,positive,"Elbert, S. H. (1957). The Chief in Hawaiian Mythology. 7. The Chief and Religion. The Journal of American Folklore, 70(277), 264-276.",https://www.jstor.org/stable/538326,1,NA,NA
Hawaiian,single,hawa1245,NA,NA,cloud,noun,1,cloudcombo,cloud,wordnet,positive,"Elbert, S. H. (1957). The Chief in Hawaiian Mythology. 7. The Chief and Religion. The Journal of American Folklore, 70(277), 264-276.",https://www.jstor.org/stable/538326,1,NA,NA
Nuaulu,group,NA,langname_contains,Nuaulu,cuscus,noun,1,cuscuscombo,cuscus,wordnet,positive,"Ellen, R. F. (1978). Restricted faunas and ethnozoological inventories in Wallacea. Nature and Man in South East Asia, 142.","https://books.google.com.au/books?hl=en&lr=&id=yVKAAAAAQBAJ&oi=fnd&pg=PA142&dq=Ellen,+Restricted+faunas+and+ethnozoological+inventories+in+Wallacea&ots=YjV05RBrJc&sig=96u-zF7US1ZQRG0Pe6ma-uMFcOE#v=onepage&q=Ellen%2C%20Restricted%20faunas%20and%20ethnozoological%20inventories%20in%20Wallacea&f=false",1,152,NA
Nuaulu,group,NA,langname_contains,Nuaulu,lizard,noun,1,lizardcombo,lizard,wordnet,positive,"Ellen, R. F. (1978). Restricted faunas and ethnozoological inventories in Wallacea. Nature and Man in South East Asia, 142.","https://books.google.com.au/books?hl=en&lr=&id=yVKAAAAAQBAJ&oi=fnd&pg=PA142&dq=Ellen,+Restricted+faunas+and+ethnozoological+inventories+in+Wallacea&ots=YjV05RBrJc&sig=96u-zF7US1ZQRG0Pe6ma-uMFcOE#v=onepage&q=Ellen%2C%20Restricted%20faunas%20and%20ethnozoological%20inventories%20in%20Wallacea&f=false",1,152,NA
Nuaulu,group,NA,langname_contains,Nuaulu,snake,noun,1,snakecombo,"snake, serpent, ophidian",wordnet,positive,"Ellen, R. F. (1978). Restricted faunas and ethnozoological inventories in Wallacea. Nature and Man in South East Asia, 142.","https://books.google.com.au/books?hl=en&lr=&id=yVKAAAAAQBAJ&oi=fnd&pg=PA142&dq=Ellen,+Restricted+faunas+and+ethnozoological+inventories+in+Wallacea&ots=YjV05RBrJc&sig=96u-zF7US1ZQRG0Pe6ma-uMFcOE#v=onepage&q=Ellen%2C%20Restricted%20faunas%20and%20ethnozoological%20inventories%20in%20Wallacea&f=false",1,152,NA
Kri,single,male1282,NA,NA,taste,noun,1,tastecombo,"taste, tasting, gustation",wordnet,positive,"Enfield, N. J. (2011). Taste in two tongues: A Southeast Asian study of semantic convergence. The Senses and Society, 6(1), 30-37.",https://pure.mpg.de/rest/items/item_446254/component/file_752551/content,1,NA,NA
Lao,single,laoo1244,NA,NA,taste,noun,1,tastecombo,"taste, tasting, gustation",wordnet,positive,"Enfield, N. J. (2011). Taste in two tongues: A Southeast Asian study of semantic convergence. The Senses and Society, 6(1), 30-37.",https://pure.mpg.de/rest/items/item_446254/component/file_752551/content,1,NA,NA
Dinka,group,NA,langname_contains,Dinka,cattle,noun,1,cattlecombo,"cattle, cow, ox, kine, oxen",wordnet,positive,"Evans-Pritchard, E. E. (1934). Imagery in Nģok Dinka cattle-names. Bulletin of the School of Oriental and African Studies, 7(3), 623-628.",https://www.cambridge.org/core/journals/bulletin-of-the-school-of-oriental-and-african-studies/article/imagery-in-ngok-dinka-cattlenames/5B6733E7990D4F1DF3019BE1AFDB557A,1,NA,NA
Kayardilt,single,kaya1319,NA,NA,for,function word,1,forcombo,NA,NA,positive,"Evans, N. (2022). Words of wonder: Endangered languages and what they tell us. John Wiley & Sons.",https://books.google.com.au/books?hl=en&lr=&id=Ej5zEAAAQBAJ&oi=fnd&pg=PT8&dq=words+of+wonder&ots=ZVbeHv2kcm&sig=WS_9VNYhGxocSWpGFTibpJ6LpcA&redir_esc=y#v=onepage&q=words%20of%20wonder&f=false,1,74,NA
Kunwinjku,single,gunw1252,NA,NA,to hop,verb,1,tohopcombo,NA,NA,positive,"Evans, N. (2022). Words of wonder: Endangered languages and what they tell us. John Wiley & Sons.",https://books.google.com.au/books?hl=en&lr=&id=Ej5zEAAAQBAJ&oi=fnd&pg=PT8&dq=words+of+wonder&ots=ZVbeHv2kcm&sig=WS_9VNYhGxocSWpGFTibpJ6LpcA&redir_esc=y#v=onepage&q=words%20of%20wonder&f=false,1,56,NA
Navajo,single,nava1243,NA,NA,to give,verb,1,togivecombo,NA,NA,positive,"Evans, N. (2022). Words of wonder: Endangered languages and what they tell us. John Wiley & Sons.",https://books.google.com.au/books?hl=en&lr=&id=Ej5zEAAAQBAJ&oi=fnd&pg=PT8&dq=words+of+wonder&ots=ZVbeHv2kcm&sig=WS_9VNYhGxocSWpGFTibpJ6LpcA&redir_esc=y#v=onepage&q=words%20of%20wonder&f=false,1,56,NA
Tinrin,single,tiri1258,NA,NA,my,function word,1,mycombo,NA,NA,positive,"Evans, N. (2022). Words of wonder: Endangered languages and what they tell us. John Wiley & Sons.",https://books.google.com.au/books?hl=en&lr=&id=Ej5zEAAAQBAJ&oi=fnd&pg=PT8&dq=words+of+wonder&ots=ZVbeHv2kcm&sig=WS_9VNYhGxocSWpGFTibpJ6LpcA&redir_esc=y#v=onepage&q=words%20of%20wonder&f=false,1,72,NA
Oceanic languages,group,NA,affiliation_contains,Oceanic,coconut,noun,1,coconutcombo,"coconut, cocoanut",wordnet,positive,"Evans, N. (2022). Words of wonder: Endangered languages and what they tell us. John Wiley & Sons.",https://books.google.com.au/books?hl=en&lr=&id=Ej5zEAAAQBAJ&oi=fnd&pg=PT8&dq=words+of+wonder&ots=ZVbeHv2kcm&sig=WS_9VNYhGxocSWpGFTibpJ6LpcA&redir_esc=y#v=onepage&q=words%20of%20wonder&f=false,1,72,NA
Tikopia,single,tiko1237,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Firth, Raymond. 1985. Tikopia–English Dictionary. Oxford, Auckland: Oxford University Press, Auckland University Press.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Arabic,group,NA,langname_contains,Arabic,horse,noun,1,horsecombo,horse,wordnet,positive,"Fishman, J. A. (1960). A systematization of the Whorfian hypothesis. Behavioral Science, 5(4), 323-339.",https://onlinelibrary.wiley.com/doi/abs/10.1002/bs.3830050407,1,NA,NA
Cha'palaa,single,chac1249,NA,NA,smell,noun,1,smellcombo,"smell, odor, odour, aroma, scent, smelling",wordnet,positive,"Floyd, S., Roque, L. S., & Majid, A. (2018). Smell is coded in grammar and frequent in discourse: Cha'palaa olfactory language in cross‐linguistic perspective. Journal of Linguistic Anthropology, 28(2), 175-196.",https://pure.mpg.de/rest/items/item_2574932_7/component/file_2629887/content,1,NA,NA
Arosi,single,aros1241,NA,NA,plant,noun,0,plantcombo,NA,historical thesaurus of english,positive,"Fox, C. E. (1978). Arosi dictionary. Dept. of Linguistics, Research School of Pacific Studies, The Australian National University.",https://openresearch-repository.anu.edu.au/bitstream/1885/144429/1/PL-C57.pdf,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Arosi,single,aros1241,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Fox, Charles E. (1978). Arosi Dictionary. Canberra: Pacific Linguistics",https://openresearch-repository.anu.edu.au/bitstream/1885/144429/1/PL-C57.pdf,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Arosi,single,aros1241,NA,NA,tree,noun,0,treecombo,tree,wordnet,positive,"Fox, Charles E. (1978). Arosi Dictionary. Canberra: Pacific Linguistics",https://openresearch-repository.anu.edu.au/bitstream/1885/144429/1/PL-C57.pdf,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Gela,single,gela1263,NA,NA,tree,noun,0,treecombo,tree,wordnet,positive,"Fox, Charles E. 1955. Nggela Dictionary. Auckland: The Unity Press.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Gela,single,gela1263,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Fox, Charles E. 1955. Nggela Dictionary. Auckland: The Unity Press. & Foale, Simon J. 1998. The role of customary marine tenure and local knowledge in fishery management at West Nggela, Solomon Islands. Phd thesis, University of Melbourne.",NA,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Lau,single,lauu1247,NA,NA,fish,noun,0,fishcombo,fish,wordnet,positive,"Fox, Charles E. 1974. Lau Dictionary. Canberra: Pacific Linguistics.",https://openresearch-repository.anu.edu.au/bitstream/1885/146584/1/PL-C25.pdf,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Lau,single,lauu1247,NA,NA,tree,noun,0,treecombo,tree,wordnet,positive,"Fox, Charles E. 1974. Lau Dictionary. Canberra: Pacific Linguistics.",https://openresearch-repository.anu.edu.au/bitstream/1885/146584/1/PL-C25.pdf,1,NA,"Quoted in Pawley, A., Haig, G., Nau, N., Schnell, S., & Wegener, C. (2011). What does it take to make an ethnographic dictionary? On the treatment of fish and tree names in dictionaries of Oceanic languages. Documenting Endangered Languages, Achievements and Perspectives. Berlin, de Gruyter Mouton, 263-287."
Subanun,single,cent2089,NA,NA,disease,noun,0,diseasecombo,disease,wordnet,positive,"Frake, C. O. (1961). The diagnosis of disease among the Subanun of Mindanao. American anthropologist, 113-132.",https://www.jstor.org/stable/667341,1,NA,NA
Subanun,single,cent2089,NA,NA,plant,noun,0,plantcombo,NA,historical thesaurus of english,positive,"Frake, C. O. (1961). The diagnosis of disease among the Subanun of Mindanao. American anthropologist, 113-132.",https://www.jstor.org/stable/667341,1,NA,NA
Batanic,group,NA,affiliation_contains,Batanic,wind,noun,1,windcombo,wind,wordnet,positive,"Gallego, M. K. S. (2018). Directional systems in Philippine languages. Oceanic Linguistics, 57(1), 63-100.",https://d1wqtxts1xzle7.cloudfront.net/58255399/Gallego_-_Directional_systems_in_Philippine_languages-libre.pdf?1548397538=&response-content-disposition=inline%3B+filename%3DDirectional_systems_in_Philippine_langua.pdf&Expires=1713401022&Signature=N7uir09fukd945Q4N7qxcWSFS1dzDaKwqDbjBSWhwLG6yDztK6pPEnfNIK92OPRdLC4kjXZZ6bShpkCivDtbBNB8e4G9Rxte3l5OdPMljBznDt8z6y2LKgrxPwoJ7VNqbyC0QgPB554rrJ0NP82mZJQL~M0D-PjKcS1j-aKG6s77afkBa23kOc0dLNj87eQAcdSg4E6qva2yFPm0DhXxIRHnvR2smrCx9ov1W5eYorUgINyJM2SToiNJgBwEJFy2N03P4DkYjGyjDs-nLBdfMmT2kTEKGWDDVpzAHnNyozGqpfEUbwChUYkYTzavWt1oc1Qs~4wNNBFZnEy13zWCNg__&Key-Pair-Id=APKAJLOHF5GGSLRBV4ZA,1,NA,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",rain,noun,1,raincombo,"rain, rainfall, rainwater",wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",wind,noun,1,windcombo,wind,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
Japanese,single,nucl1643,NA,NA,rain,noun,1,raincombo,"rain, rainfall, rainwater",wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
Japanese,single,nucl1643,NA,NA,wind,noun,1,windcombo,wind,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",fish,noun,0,fishcombo,fish,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",insects,noun,0,insectscombo,insect,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",animal,noun,0,animalcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",kinship,noun,0,kinshipcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",plant,noun,0,plantcombo,NA,historical thesaurus of english,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",weather,noun,0,weathercombo,"weather, climate, thunder, lightning, wind, cloud, mist, precipitation, dew, rain, hail, snow, rainbow",historical thesaurus of english,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
Haka Chin,single,haka1240,NA,NA,"feelings, emotions, mental states","noun, adjective, verb",0,emotioncombo,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness","Jackson, J. C., Watts, J., Henry, T. R., List, J. M., Forkel, R., Mucha, P. J., ... & Lindquist, K. A. (2019). Emotion semantics show both cultural variation and universal structure. Science, 366(6472), 1517-1522.",positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,77,NA
East and southeast asian,group,NA,subregion_equals_to,"Eastern Asia, South-eastern Asia",rice,noun,1,ricecombo,rice,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Japanese,single,nucl1643,NA,NA,nature,noun,0,naturecombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,78,NA
Lao,single,laoo1244,NA,NA,sibling,noun,0,siblingcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Japanese,single,nucl1643,NA,NA,rice,noun,1,ricecombo,rice,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Malay,group,NA,langname_contains,Malay,"feelings, emotions, mental states","noun, adjective, verb",0,emotioncombo,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness","Jackson, J. C., Watts, J., Henry, T. R., List, J. M., Forkel, R., Mucha, P. J., ... & Lindquist, K. A. (2019). Emotion semantics show both cultural variation and universal structure. Science, 366(6472), 1517-1522.",positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,77,NA
Malay,group,NA,langname_contains,Malay,sibling,noun,0,siblingcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Mandarin Chinese,single,mand1415,NA,NA,sibling,noun,0,siblingcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Malay,group,NA,langname_contains,Malay,rice,noun,1,ricecombo,rice,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Southeast asian,group,NA,subregion_equals_to,South-eastern Asia,"feelings, emotions, mental states","noun, adjective, verb",0,emotioncombo,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness","Jackson, J. C., Watts, J., Henry, T. R., List, J. M., Forkel, R., Mucha, P. J., ... & Lindquist, K. A. (2019). Emotion semantics show both cultural variation and universal structure. Science, 366(6472), 1517-1522.",positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,77,NA
Thai,group,NA,langname_contains,Thai,"feelings, emotions, mental states","noun, adjective, verb",0,emotioncombo,"anger, anxiety, envy, fear, gloomy, grief, happy, hate, hope, joy, love, pity, proud, regret, sad, shame, surprised, worry, merry, desire, good, like, bad, want, happiness","Jackson, J. C., Watts, J., Henry, T. R., List, J. M., Forkel, R., Mucha, P. J., ... & Lindquist, K. A. (2019). Emotion semantics show both cultural variation and universal structure. Science, 366(6472), 1517-1522.",positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,77,NA
Thai,group,NA,langname_contains,Thai,sibling,noun,0,siblingcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Vietnamese,single,viet1252,NA,NA,sibling,noun,0,siblingcombo,NA,NA,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Vietnamese,single,viet1252,NA,NA,rice,noun,1,ricecombo,rice,wordnet,positive,"Goddard, C. (2005). The languages of East and Southeast Asia: an introduction. Oxford University Press.",https://books.google.com/books?hl=en&lr=&id=364UDAAAQBAJ&oi=fnd&pg=PR5&dq=goddard+languages+of+east+and+southeast&ots=Aqa6mLSUJ7&sig=6yPK2-bTkVKUYh299fw5HNy3k3s,1,76,NA
Agta,group,NA,langname_contains,Agta,to fish,verb,1,tofishcombo,NA,NA,positive,"Harris, M. (1989). Our kind: Who we are, where we came from, where we are going. Harper & Row Publishers.",https://psycnet.apa.org/record/1989-98292-000,1,72,NA
Tupi languages,group,NA,langfamily_equals_to,Tupian,parrot,noun,1,parrotcombo,parrot,wordnet,positive,"Harris, M. (1989). Our kind: Who we are, where we came from, where we are going. Harper & Row Publishers.",https://psycnet.apa.org/record/1989-98292-000,1,72,NA
Yupik,group,NA,langname_contains,Yupik,ice,noun,1,icecombo,ice,wordnet,positive,"Harrison, K. D. (2010). The last speakers: The quest to save the world's most endangered languages. National Geographic Books.","https://books.google.com.au/books?hl=en&lr=&id=EajTZxwOmT4C&oi=fnd&pg=PA9&dq=+Harrison,+The+last+speakers&ots=8XfgQ8PSqp&sig=7gk9OPQmEBLkiIa70fRZFW1VTjM&redir_esc=y#v=onepage&q=Harrison%2C%20The%20last%20speakers&f=false",1,99,NA
Yupik,group,NA,langname_contains,Yupik,wind,noun,1,windcombo,wind,wordnet,positive,"Harrison, K. D. (2010). The last speakers: The quest to save the world's most endangered languages. National Geographic Books.","https://books.google.com.au/books?hl=en&lr=&id=EajTZxwOmT4C&oi=fnd&pg=PA9&dq=+Harrison,+The+last+speakers&ots=8XfgQ8PSqp&sig=7gk9OPQmEBLkiIa70fRZFW1VTjM&redir_esc=y#v=onepage&q=Harrison%2C%20The%20last%20speakers&f=false",1,99,NA
